ticker,cik,name,sic,simfin_industry_id,exchange,ipo_date,delist_date
BEN,38777,Franklin Resources Inc,6282,104001,NYSE,07/09/1984,31/12/9998
BERY,1378992,Berry Plastics Group Inc,3089,103018,NYSE,04/10/2012,31/12/9998
BFAM,1437578,Bright Horizons Family Solutions Inc,8351,103020,NYSE,25/01/2013,31/12/9998
BFB,14693,NVS,2080,999999,NVS,01/01/1900,01/01/1900
BFS,907254,Saul Centers Inc,6798,109001,NYSE,19/08/1993,31/12/9998
BG,1144519,Bunge Ltd,2070,102002,NYSE,02/08/2001,31/12/9998
BGC,886035,General Cable Corp,3357,999999,NYSE,16/05/1997,06/06/2018
BGCP,1094831,BGC Partners Inc Class A,6200,104003,NASDAQ,10/12/1999,31/12/9998
BGG,14195,Briggs Stratton Corp,3510,100001,NYSE,07/09/1984,31/12/9998
BGNE,1651308,BeiGene Ltd,2834,106002,NASDAQ,03/02/2016,31/12/9998
BGS,1278027,BG Foods Inc,2000,102002,NYSE,23/05/2007,31/12/9998
BGSF,1474903,BG Staffing Inc,7363,100011,NYSE,29/04/2014,31/12/9998
BHC,885590,Bausch Health Companies Inc,2834,106005,NYSE,14/07/2018,31/12/9998
BHE,863436,Benchmark Electronics Inc,3672,101001,NYSE,28/06/1990,31/12/9998
BHF,1685040,Brighthouse Financial Inc,6311,104004,NASDAQ,17/07/2017,31/12/9998
BHGE,1701605,Baker Hughes,3533,107004,NVS,01/01/1900,01/01/1900
BHI,808362,Baker Hughes Inc,3533,107004,NYSE,06/04/1987,05/07/2017
BHLB,1108134,Berkshire Hills Bancorp Inc,6036,999999,NYSE,28/06/2000,31/12/9998
BHVN,1689813,Biohaven Pharmaceutical Holding Company Ltd,2834,999999,NYSE,04/05/2017,31/12/9998
BID,823094,Sothebys,7389,103002,NYSE,13/05/1988,14/10/2019
BIG,768835,Big Lots Inc,5331,102001,NYSE,20/06/1985,31/12/9998
BIIB,875045,Biogen Idec Inc,2836,106002,NASDAQ,17/09/1991,31/12/9998
BIO,12208,BioRad Laboratories Inc,3826,106001,NYSE,27/02/1980,31/12/9998
BIVV,1681689,Bioverativ Inc,2834,999999,NASDAQ,12/01/2017,19/03/2018
BJ,1531152,BJs Wholesale Club Holdings Inc,5331,999999,NYSE,28/06/2018,31/12/9998
BJRI,1013488,BJs Restaurants Inc,5812,103003,NASDAQ,10/10/1996,31/12/9998
BK,1390777,The Bank of New York Mellon Corp,6022,104001,NYSE,03/05/1973,31/12/9998
BKD,1332349,Brookdale Senior Living Inc,8050,999999,NYSE,22/11/2005,31/12/9998
BKE,885245,The Buckle Inc,5651,103002,NYSE,11/05/1992,31/12/9998
BKH,1130464,Black Hills Corp,4911,105001,NYSE,07/09/1984,31/12/9998
BKI,1627014,Black Knight Inc,7372,101003,NYSE,20/05/2015,31/12/9998
BKNG,1075531,Booking Holdings Inc,4700,103015,NASDAQ,31/03/1999,31/12/9998
BKR,1701605,Baker Hughes,3533,107004,NYSE,05/07/2017,31/12/9998
BKS,890491,Barnes Noble Inc,5940,103002,NYSE,28/09/1993,19/08/2019
BKU,1504008,BankUnited Inc,6035,999999,NYSE,28/01/2011,31/12/9998
BL,1666134,BlackLine Inc,7372,101003,NASDAQ,28/10/2016,31/12/9998
BLCM,1358403,Bellicum Pharmaceuticals Inc,2834,106002,NASDAQ,18/12/2014,31/12/9998
BLD,1633931,TopBuild Corp,1700,999999,NYSE,01/07/2015,31/12/9998
