,ticker,last_date_in_db,last_date_retrieved,records_retrieved,records_updated,status,loop_time,capture_date
1147,WMB,2023-11-30,2024-01-12,62,20,succesful_update,1.06,2024-01-15
1148,WMT,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1149,WOLF,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
1150,WOOF,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
1151,WOR,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
1152,WPC,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1153,WRB,2023-11-30,2024-01-12,62,20,succesful_update,1.0,2024-01-15
1154,WRK,2023-11-30,2024-01-12,62,20,succesful_update,1.08,2024-01-15
1155,WSBC,2023-11-30,2024-01-12,62,20,succesful_update,1.08,2024-01-15
1156,WSBCP,2023-11-30,2024-01-12,62,20,succesful_update,1.06,2024-01-15
1157,WSC,2023-11-30,2024-01-12,62,20,succesful_update,1.09,2024-01-15
1158,WSM,2023-11-30,2024-01-12,62,20,succesful_update,1.13,2024-01-15
1159,WSO,2023-11-30,2024-01-12,62,20,succesful_update,1.1,2024-01-15
1160,WST,2023-11-30,2024-01-12,62,20,succesful_update,1.06,2024-01-15
1161,WTFC,2023-11-30,2024-01-12,62,20,succesful_update,1.1,2024-01-15
1162,WTFCM,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
1163,WTFCP,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1164,WTRG,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
1165,WTRU,2022-03-31,1980-12-31,0,0,failed_no_data,0.98,2024-01-15
1166,WTW,2023-11-30,2024-01-12,62,20,succesful_update,1.06,2024-01-15
1167,WU,2023-11-30,2024-01-12,62,20,succesful_update,1.14,2024-01-15
1168,WWD,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1169,WY,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
1170,X,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1171,XEL,2023-11-30,2024-01-12,62,20,succesful_update,0.99,2024-01-15
1172,XHR,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1173,XOM,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
1174,XPO,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
1175,XRX,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
1176,XYL,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
1177,Y,2022-10-18,1980-12-31,0,0,failed_no_data,1.01,2024-01-15
1178,YUMC,2023-11-30,2024-01-12,62,20,succesful_update,1.15,2024-01-15
1179,Z,2023-11-30,2024-01-12,62,20,succesful_update,1.09,2024-01-15
1180,ZBH,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1181,ZBRA,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
1182,ZD,2023-11-30,2024-01-12,62,20,succesful_update,1.06,2024-01-15
1183,ZG,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
1184,ZI,2023-11-30,2024-01-12,62,20,succesful_update,1.08,2024-01-15
1185,ZION,2023-11-30,2024-01-12,62,20,succesful_update,1.08,2024-01-15
1186,ZIONL,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
1187,ZIONO,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
1188,ZIONP,2023-11-30,2024-01-12,60,19,succesful_update,1.03,2024-01-15
1189,ZM,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
1190,ZTS,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
